driver_avg_corner_speed,driver_min_corner_speed,driver_corner_throttle,driver_corner_brake,driver_corner_rpm,driver_avg_straight_speed,driver_top_speed,driver_straight_throttle,driver_drs_usage,driver,circuit_id,season
139.50899780593122,44.0,35.758906980182886,12.835907776884538,9113.088146086384,164.74967509989096,325.0,59.716877186513706,100.0,alb,albert_park,2019
139.50899780593122,44.0,35.758906980182886,12.835907776884538,9113.088146086384,164.74967509989096,325.0,59.716877186513706,100.0,alb,albert_park,2022
135.0598074355568,53.0,19.797466960782728,28.25910064692907,8995.58579546785,157.04049702812975,327.0,55.303650368751825,100.0,alb,americas,2019
135.0598074355568,53.0,19.797466960782728,28.25910064692907,8995.58579546785,157.04049702812975,327.0,55.303650368751825,100.0,alb,americas,2022
125.22291885380018,42.0,31.95628536730223,16.072986051490574,9101.101115938305,170.64617940816404,326.0,64.39173475949472,100.0,alb,bahrain,2019
125.22291885380018,42.0,31.95628536730223,16.072986051490574,9101.101115938305,170.64617940816404,326.0,64.39173475949472,100.0,alb,bahrain,2020
125.20808000333432,39.0,26.107855539121818,20.26703773424817,8940.708412284499,162.46212707917203,326.5,56.87280476580493,100.0,alb,bahrain,2022
129.8856208994794,36.0,21.483568823705777,29.857274660349578,9108.638325127391,155.36460155842406,324.0,62.95746440141223,100.0,alb,catalunya,2019
129.8856208994794,36.0,21.483568823705777,29.857274660349578,9108.638325127391,155.36460155842406,324.0,62.95746440141223,100.0,alb,catalunya,2020
127.26776864317577,34.0,15.432096759671733,35.97485818341175,8995.886556682228,146.46801839462123,322.0,53.69758635092596,100.0,alb,catalunya,2022
117.41205706730312,26.0,25.8813370089726,20.483815988667452,8636.145685242009,143.12010946110013,343.0,50.336924676301855,100.0,alb,hockenheimring,2019
120.24901348510424,60.0,12.791109588915665,22.041017926468157,8693.431202076275,143.07854422587533,322.0,54.198654533897,100.0,alb,hungaroring,2019
120.24901348510424,60.0,12.791109588915665,22.041017926468157,8693.431202076275,143.07854422587533,322.0,54.198654533897,100.0,alb,hungaroring,2020
125.37983905370518,46.0,9.019276934451213,33.60939250993897,8827.41480633014,144.1492979303331,323.0,50.59649717976906,100.0,alb,hungaroring,2022
122.35505051789477,47.0,19.933099870737127,17.576309207649118,8872.254262192146,153.0465332869171,332.0,57.906780588006214,100.0,alb,interlagos,2019
122.35505051789477,47.0,19.933099870737127,17.576309207649118,8872.254262192146,153.0465332869171,332.0,57.906780588006214,100.0,alb,interlagos,2022
173.17039644632035,51.0,52.01398560769756,7.5501300528035316,10049.450946055105,193.38963148674495,346.0,62.281950498556135,100.0,alb,monza,2019
173.17039644632035,51.0,52.01398560769756,7.5501300528035316,10049.450946055105,193.38963148674495,346.0,62.281950498556135,100.0,alb,monza,2020
185.18678946698407,57.0,46.54703308959234,26.216733814121067,10228.267119120948,160.8369390640971,316.0,49.761549518763495,100.0,alb,nurburgring,2020
142.36877768084418,55.0,25.786887401334294,17.23108206596073,9104.216566837942,164.80528670945523,328.0,61.402657952605104,100.0,alb,red_bull_ring,2019
142.36877768084418,55.0,25.786887401334294,17.23108206596073,9104.216566837942,164.80528670945523,328.0,61.402657952605104,100.0,alb,red_bull_ring,2020
143.67348911275548,53.5,26.368954953100783,14.631066965830257,9226.936389976156,170.74347109381415,326.5,58.461708992086514,100.0,alb,red_bull_ring,2022
183.37436071945035,46.0,39.58748976871781,36.649534607021266,9884.103307051979,159.80887265808167,348.0,42.29162634934953,100.0,alb,rodriguez,2019
183.37436071945035,46.0,39.58748976871781,36.649534607021266,9884.103307051979,159.80887265808167,348.0,42.29162634934953,100.0,alb,rodriguez,2022
150.0392811016562,56.0,20.210575324168776,25.31809221048016,9263.298841306349,180.40021451262578,333.0,65.67800822574276,100.0,alb,silverstone,2019
150.0392811016562,56.0,20.210575324168776,25.31809221048016,9263.298841306349,180.40021451262578,333.0,65.67800822574276,100.0,alb,silverstone,2020
152.36665594592557,56.5,22.247201283090803,24.59757713358084,9278.288996242236,169.40050770754348,324.0,61.407466470850444,100.0,alb,silverstone,2022
141.49541577759257,0.0,13.26239958594208,52.149291055890664,9189.035520268264,164.14023165360797,327.0,49.43416925025621,100.0,alb,sochi,2019
141.49541577759257,0.0,13.26239958594208,52.149291055890664,9189.035520268264,164.14023165360797,327.0,49.43416925025621,100.0,alb,sochi,2020
139.92353074047335,0.0,36.926554107280076,17.381685264706196,8694.195708161942,154.66468903201502,333.0,41.022065123877596,100.0,alb,spa,2019
139.92353074047335,0.0,36.926554107280076,17.381685264706196,8694.195708161942,154.66468903201502,333.0,41.022065123877596,100.0,alb,spa,2020
145.11072030597373,19.5,34.34387446617491,13.33826702552079,8940.941408301138,163.75042975752606,332.5,46.38227055011453,100.0,alb,spa,2022
