Model,Pole_Accuracy_No_Scaling,Correct_Poles,Total_Sessions,Pole_Accuracy_With_Scaling,Difference
BayesianRidge,50.0,11,22,40.909090909090914,9.090909090909086
Ridge,45.45454545454545,10,22,45.45454545454545,0.0
LGBMRegressor,40.909090909090914,9,22,40.909090909090914,0.0
GradientBoostingRegressor,40.909090909090914,9,22,40.909090909090914,0.0
ElasticNet,40.909090909090914,9,22,40.909090909090914,0.0
RandomForestRegressor,36.36363636363637,8,22,31.818181818181817,4.54545454545455
Lasso,36.36363636363637,8,22,36.36363636363637,0.0
