Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
GammaRegressor,0.023203712964386503,0.41019221809066775,4.4173208918938816,0.029003143310546875
TweedieRegressor,0.0218533903084549,0.40937686813374485,4.420373088418694,0.010859012603759766
BayesianRidge,0.020199273550695174,0.40837808164278255,4.424109095137029,0.03045201301574707
PoissonRegressor,0.01976695370043946,0.4081170388692391,4.42508501768833,0.016685962677001953
ElasticNetCV,0.015327522227292945,0.40543642750239883,4.435094203424634,0.06806492805480957
SGDRegressor,0.011236342042318603,0.40296609674631645,4.444298259454948,0.026369094848632812
RidgeCV,0.007339160078157936,0.40061290572738417,4.4530481794349015,0.016942977905273438
Ridge,0.005625143717720937,0.39957795074124913,4.4568910355182005,0.008442163467407227
LinearRegression,0.00540899062516742,0.399447433480113,4.457375419463911,0.012196063995361328
TransformedTargetRegressor,0.00540899062516742,0.399447433480113,4.457375419463911,0.014349699020385742
LassoLarsIC,0.0021250001996324652,0.39746449892722435,4.464728147805232,0.017503023147583008
OrthogonalMatchingPursuit,-0.0007554240343963237,0.3957252451534552,4.471167353126062,0.00966191291809082
LassoCV,-0.003779159554812672,0.39389945735711784,4.477916969659632,0.06851506233215332
LassoLarsCV,-0.004141125302069337,0.3936808957006598,4.478724271969073,0.032659053802490234
OrthogonalMatchingPursuitCV,-0.0052283070798371245,0.39302443510453744,4.481148169388155,0.016906023025512695
ElasticNet,-0.0056888439510836,0.39274635436843874,4.4821745519653975,0.008678913116455078
HuberRegressor,-0.013835742439545218,0.3878271054004655,4.500292564986287,0.03595423698425293
LinearSVR,-0.03493453299475435,0.37508726289338223,4.546878909891226,0.043424129486083984
ExtraTreesRegressor,-0.035795926874888195,0.3745671372330628,4.5487707392322205,0.8318707942962646
LarsCV,-0.04096122733673635,0.37144823265824745,4.560098524786179,0.03437614440917969
LassoLars,-0.06186338333653141,0.35882712175622333,4.6056536111674236,0.007924079895019531
Lasso,-0.06189910485850003,0.35880555243627565,4.605731078559001,0.01129293441772461
RandomForestRegressor,-0.06662383731944233,0.35595267102191197,4.61596590005561,1.170281171798706
GradientBoostingRegressor,-0.10949629854768816,0.3300654808292002,4.70782030921589,0.3851282596588135
BaggingRegressor,-0.11300757981989373,0.3279453038319019,4.715263967766204,0.122589111328125
RANSACRegressor,-0.11972047204974245,0.3238919345379837,4.72946219762152,0.1733720302581787
MLPRegressor,-0.12089624570356272,0.3231819805178965,4.731944655594758,0.652620792388916
HistGradientBoostingRegressor,-0.13610106580191195,0.3140010270933563,4.763930673815283,0.9270646572113037
XGBRegressor,-0.1505708915913999,0.305263876914978,4.794172389235193,0.29306793212890625
AdaBoostRegressor,-0.18838859180035006,0.2824288455238936,4.872324291067423,0.14420413970947266
KNeighborsRegressor,-0.19103834844631362,0.28082887313384886,4.877753190811953,0.026262998580932617
LGBMRegressor,-0.1935905667654838,0.2792877962012711,4.882976544478007,0.6991622447967529
NuSVR,-0.43026857392206663,0.136377209541091,5.345222002451852,0.14705777168273926
SVR,-0.4459044430097525,0.12693598071248835,5.374359890988479,0.20142817497253418
DummyRegressor,-0.6562574287514007,-7.90679572897357e-05,5.752026376013809,0.005727052688598633
QuantileRegressor,-0.6680524942364892,-0.007201148071197538,5.772471617204243,0.1678621768951416
PassiveAggressiveRegressor,-0.8463415835109849,-0.11485541916057085,6.073135553362098,0.017210721969604492
ExtraTreeRegressor,-0.9015440866773095,-0.14818771820849475,6.16325516960918,0.014479875564575195
DecisionTreeRegressor,-0.9362281363966964,-0.16913059309872125,6.219209871725783,0.025490999221801758
KernelRidge,-5.367181008896892,-2.8446224230332064,11.27795993472325,0.05498385429382324
GaussianProcessRegressor,-6.094120388800628,-3.2835619531421454,11.90436478225572,0.4263920783996582
Lars,-9.283301571098608e+33,-5.605430304267179e+33,4.306338639870819e+17,0.013171195983886719
