Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
BayesianRidge,0.18136632160164567,0.47118146291968377,4.159646767768492,0.12824106216430664
LGBMRegressor,0.18015951707870237,0.4704018949404951,4.1627116501387835,0.20647597312927246
LassoLarsIC,0.17974183607980732,0.47013208261707096,4.163771895517231,0.16553092002868652
ElasticNetCV,0.17961299314699364,0.4700488530443798,4.164098897149817,0.8468050956726074
RidgeCV,0.17849953351036774,0.46932958371589273,4.16692377360842,0.15948009490966797
Ridge,0.17838274595911563,0.4692541416425552,4.167219955746497,0.04226827621459961
PoissonRegressor,0.17498111447118703,0.4670567658997783,4.1758375357525095,0.08477902412414551
LassoLarsCV,0.1729726254341568,0.46575932815401855,4.180917434951274,0.2704911231994629
LassoCV,0.17296256148765599,0.46575282707593413,4.180942873287826,0.8854179382324219
LarsCV,0.17276759104102168,0.46562688064948754,4.181435663713294,0.3147411346435547
GradientBoostingRegressor,0.17240857240326968,0.4653949628628018,4.182342936248419,3.237611770629883
OrthogonalMatchingPursuit,0.17065723063518723,0.4642636363413508,4.186765916357052,0.035980939865112305
OrthogonalMatchingPursuitCV,0.16892717689339942,0.4631460613955063,4.191130551070004,0.19926977157592773
HistGradientBoostingRegressor,0.16619576727718133,0.46138163357445505,4.1980122005354295,0.7485082149505615
TweedieRegressor,0.16492166495859606,0.46055859276635747,4.201218382002476,0.05910921096801758
ElasticNet,0.1602532101059816,0.4575428782523697,4.212945343579561,0.09076976776123047
ExtraTreesRegressor,0.15714469626480077,0.4555348497710552,4.220735728725872,9.305335998535156
HuberRegressor,0.15455959319957957,0.45386493261857896,4.227203436395447,0.6833717823028564
RandomForestRegressor,0.1473942989745407,0.44923631726861135,4.245078883221211,12.89367389678955
LassoLars,0.14189822489709236,0.44568597976111024,4.258739235905776,0.05959725379943848
Lasso,0.14188858613344113,0.44567975334137233,4.258763154318991,0.16390013694763184
LinearSVR,0.13505343524003766,0.44126440299413927,4.275690765155648,3.070225954055786
GammaRegressor,0.11854505146652594,0.43060036657952594,4.316300860468045,0.06260395050048828
NuSVR,0.10388798277334554,0.4211322371478393,4.352039208990261,14.44094181060791
SVR,0.08637504425343279,0.4098192814602635,4.394359927094338,13.057915210723877
BaggingRegressor,0.08265124383513311,0.4074137919946492,4.403306201547555,1.2823128700256348
XGBRegressor,0.0794845938258324,0.40536820888519287,4.410899519457735,0.372373104095459
AdaBoostRegressor,-0.01830189543848104,0.3422003847857168,4.6392729493670775,0.8009681701660156
KNeighborsRegressor,-0.05668975293296352,0.31740271132376385,4.725909455701224,0.0853722095489502
MLPRegressor,-0.12998731619123882,0.27005417046037217,4.887068574705133,16.428498029708862
DummyRegressor,-0.644895251806993,-0.0625645189833679,5.896316293983896,0.03429889678955078
QuantileRegressor,-0.6672261437032538,-0.07698976179451567,5.936205194405913,4.439270734786987
ExtraTreeRegressor,-0.7415589937707316,-0.12500707413695533,6.067094282069707,0.19312071800231934
DecisionTreeRegressor,-0.8456249838652006,-0.19223131141637095,6.245732488021449,0.3211081027984619
PassiveAggressiveRegressor,-0.9079708715648429,-0.23250532163154225,6.350347904071029,0.11771392822265625
GaussianProcessRegressor,-4.842144478504053,-2.7738910309416984,11.11214232460111,31.547324895858765
KernelRidge,-6.7730718735199344,-4.02122573898644,12.817637659881042,8.519214868545532
SGDRegressor,-144168.96766056292,-93129.48485659352,1745.6173476779245,0.1046900749206543
LinearRegression,-6.565004137147089e+22,-4.240841752961683e+22,1177956222769.3284,0.16029596328735352
TransformedTargetRegressor,-6.565004137147089e+22,-4.240841752961683e+22,1177956222769.3284,0.11640405654907227
RANSACRegressor,-7.846550723090359e+24,-5.068691386639979e+24,12878077726208.387,0.6702389717102051
